203.6.69.2 - - [18/Jun/2016:00:35:45 +1000] "GET /css/typicons.min.css HTTP/1.1" 304 - "-" "Mozilla/4.0 (compatible;)"
69.58.178.56 - - [18/Jun/2016:00:31:51 +1000] "GET /robots.txt HTTP/1.1" 404 283 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1"
69.58.178.56 - - [18/Jun/2016:00:31:52 +1000] "GET / HTTP/1.1" 200 22509 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1"
69.58.178.56 - - [18/Jun/2016:00:31:54 +1000] "GET /contact.html HTTP/1.1" 200 20884 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1"
69.58.178.56 - - [18/Jun/2016:00:31:55 +1000] "GET /services.html HTTP/1.1" 404 286 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1"
69.58.178.56 - - [18/Jun/2016:00:31:56 +1000] "GET /www.linkservices.com.au HTTP/1.1" 404 296 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1"
69.58.178.56 - - [18/Jun/2016:00:31:58 +1000] "GET /index.html HTTP/1.1" 200 22509 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1"
69.58.178.56 - - [18/Jun/2016:00:31:59 +1000] "GET /tips.html HTTP/1.1" 200 22892 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1"
69.58.178.56 - - [18/Jun/2016:00:32:01 +1000] "GET /faq.html HTTP/1.1" 200 38382 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1"
69.58.178.56 - - [18/Jun/2016:00:32:02 +1000] "GET /portal.html HTTP/1.1" 200 17123 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1"
69.58.178.56 - - [18/Jun/2016:00:32:04 +1000] "GET /quote.html HTTP/1.1" 200 25349 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1"
158.69.59.56 - - [18/Jun/2016:01:25:12 +1000] "GET / HTTP/1.1" 200 6133 "-" "MetaCommentBot; http://metacomment.io/about"
66.249.79.242 - - [18/Jun/2016:01:22:25 +1000] "GET /robots.txt HTTP/1.1" 404 232 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.242 - - [18/Jun/2016:01:22:25 +1000] "GET /contact.html HTTP/1.1" 200 5005 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
180.76.15.144 - - [18/Jun/2016:01:42:43 +1000] "GET / HTTP/1.1" 200 6133 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
